test_example,stderr,stdout,retcode,others
['./test/functional/05_arr_defn4.sy'],,masked,0,[]
['./test/functional/58_sort_test4.sy'],,masked,0,[]
['./test/functional/29_break.sy'],,masked,0,[]
['./test/functional/50_short_circuit.sy'],,masked,0,[]
['./test/functional/55_sort_test1.sy'],,masked,0,[]
['./test/functional/88_many_params2.sy'],,masked,,['其他异常']
['./test/functional/93_nested_calls.sy'],,masked,0,[]
['./test/functional/62_percolation.sy'],,masked,0,[]
['./test/functional/11_add2.sy'],,masked,0,[]
['./test/functional/57_sort_test3.sy'],,masked,0,[]
['./test/functional/81_skip_spaces.sy'],,masked,0,[]
['./test/functional/67_reverse_output.sy'],,masked,0,[]
['./test/functional/04_arr_defn3.sy'],,masked,0,[]
['./test/functional/79_var_name.sy'],,masked,0,[]
['./test/functional/31_while_if_test1.sy'],,masked,0,[]
['./test/functional/83_long_array.sy'],,masked,0,[]
['./test/functional/98_matrix_mul.sy'],,masked,0,[]
['./test/functional/74_kmp.sy'],,masked,0,[]
['./test/functional/64_calculator.sy'],,masked,0,[]
['./test/functional/52_scope.sy'],,masked,0,[]
['./test/functional/37_op_priority3.sy'],,masked,0,[]
['./test/functional/33_while_if_test3.sy'],,masked,0,[]
['./test/functional/76_n_queens.sy'],,masked,0,[]
['./test/functional/02_var_defn3.sy'],,masked,0,[]
['./test/functional/48_assign_complex_expr.sy'],,masked,0,[]
['./test/functional/65_color.sy'],,masked,0,[]
['./test/functional/80_chaos_token.sy'],,masked,0,[]
['./test/functional/73_int_io.sy'],,masked,0,[]
['./test/functional/34_arr_expr_len.sy'],,masked,0,[]
['./test/functional/49_if_complex_expr.sy'],,masked,0,[]
['./test/functional/71_full_conn.sy'],,masked,0,[]
['./test/functional/56_sort_test2.sy'],,masked,0,[]
['./test/functional/87_many_params.sy'],,masked,0,[]
['./test/functional/06_const_var_defn2.sy'],,masked,0,[]
['./test/functional/09_func_defn.sy'],,masked,0,[]
['./test/functional/25_while_if.sy'],,masked,0,[]
['./test/functional/70_dijkstra.sy'],,masked,0,[]
['./test/functional/53_scope2.sy'],,masked,0,[]
['./test/functional/75_max_flow.sy'],,masked,0,[]
['./test/functional/43_logi_assign.sy'],,masked,0,[]
['./test/functional/41_unary_op2.sy'],,masked,0,[]
['./test/functional/14_subc.sy'],,masked,0,[]
['./test/functional/07_const_var_defn3.sy'],,masked,0,[]
['./test/functional/66_exgcd.sy'],,masked,0,[]
['./test/functional/96_matrix_add.sy'],,masked,0,[]
['./test/functional/18_divc.sy'],,masked,0,[]
['./test/functional/51_short_circuit3.sy'],,masked,0,[]
['./test/functional/85_long_code.sy'],,masked,0,[]
['./test/functional/30_continue.sy'],,masked,0,[]
['./test/functional/54_hidden_var.sy'],,masked,0,[]
['./test/functional/01_var_defn2.sy'],,masked,0,[]
['./test/functional/23_if_test4.sy'],,masked,0,[]
['./test/functional/91_many_locals2.sy'],,masked,0,[]
['./test/hidden_functional/09_BFS.sy'],,masked,0,[]
['./test/hidden_functional/01_multiple_returns.sy'],,masked,0,[]
['./test/hidden_functional/04_break_continue.sy'],,masked,0,[]
['./test/hidden_functional/27_scope5.sy'],,masked,0,[]
['./test/hidden_functional/19_search.sy'],,masked,0,[]
['./test/hidden_functional/00_comment2.sy'],,masked,0,[]
['./test/hidden_functional/30_many_dimensions.sy'],,masked,,['其他异常']
['./test/hidden_functional/21_union_find.sy'],,masked,0,[]
['./test/hidden_functional/29_long_line.sy'],,masked,,['其他异常']
['./test/hidden_functional/20_sort.sy'],,masked,0,[]
['./test/hidden_functional/06_func_name.sy'],,masked,0,[]
['./test/hidden_functional/39_fp_params.sy'],,masked,0,[]
['./test/hidden_functional/31_many_indirections.sy'],,masked,0,[]
['./test/hidden_functional/08_global_arr_init.sy'],,masked,0,[]
['./test/hidden_functional/02_ret_in_block.sy'],,masked,0,[]
['./test/hidden_functional/17_maximal_clique.sy'],,masked,0,[]
['./test/hidden_functional/10_DFS.sy'],,masked,0,[]
['./test/hidden_functional/32_many_params3.sy'],,masked,0,[]
['./test/hidden_functional/18_prim.sy'],,masked,0,[]
['./test/hidden_functional/22_matrix_multiply.sy'],,masked,0,[]
['./test/hidden_functional/24_array_only.sy'],,masked,0,[]
['./test/hidden_functional/38_light2d.sy'],,masked,0,[]
['./test/hidden_functional/36_rotate.sy'],,masked,0,[]
['./test/hidden_functional/05_param_name.sy'],,masked,0,[]
['./test/hidden_functional/16_k_smallest.sy'],,masked,0,[]
['./test/hidden_functional/34_multi_loop.sy'],,masked,0,[]
['./test/hidden_functional/25_scope3.sy'],,masked,0,[]
['./test/hidden_functional/14_dp.sy'],,masked,0,[]
['./test/hidden_functional/33_multi_branch.sy'],,masked,0,[]
['./test/hidden_functional/11_BST.sy'],,masked,0,[]
['./test/hidden_functional/15_graph_coloring.sy'],,masked,0,[]
['./test/hidden_functional/26_scope4.sy'],,masked,0,[]
['./test/hidden_functional/23_json.sy'],,masked,0,[]
['./test/hidden_functional/12_DSU.sy'],,masked,0,[]
['./test/hidden_functional/35_math.sy'],,masked,0,[]
['./test/hidden_functional/28_side_effect2.sy'],,masked,0,[]
['./test/hidden_functional/13_LCA.sy'],,masked,0,[]
['./test/hidden_functional/37_dct.sy'],,masked,0,[]
['./test/hidden_functional/03_branch.sy'],,masked,0,[]
['./test/hidden_functional/07_arr_init_nd.sy'],,masked,0,[]
